date,strategy,return,holdings,longs,shorts
2021-06-01,Google/PCA top-1,0.06690781512282595,Technology,,
2021-07-01,Google/PCA top-1,0.04077714722510306,Technology,,
2021-08-01,Google/PCA top-1,0.05147891574368413,Financials,,
2021-09-01,Google/PCA top-1,-0.022656533473188856,Financials,,
2021-10-01,Google/PCA top-1,0.11668687061094052,Energy,,
2021-11-01,Google/PCA top-1,0.04451196197982621,Technology,,
2021-12-01,Google/PCA top-1,0.03052389701063607,Technology,,
2022-01-01,Google/PCA top-1,-0.06667958528157314,Technology,,
2022-02-01,Google/PCA top-1,-0.04877438395546563,Technology,,
2022-03-01,Google/PCA top-1,0.05720831236934276,Materials,,
2022-04-01,Google/PCA top-1,-0.036581278457395006,Utilities,,
2022-05-01,Google/PCA top-1,0.04308186139130776,Utilities,,
2022-06-01,Google/PCA top-1,-0.03017467974640098,Health Care,,
2022-07-01,Google/PCA top-1,0.13746663094756473,Technology,,
2022-08-01,Google/PCA top-1,0.026524096919708473,Energy,,
2022-09-01,Google/PCA top-1,-0.029256044503409462,Health Care,,
2022-10-01,Google/PCA top-1,0.10048025377977754,Health Care,,
2022-11-01,Google/PCA top-1,0.04723139335210891,Health Care,,
2022-12-01,Google/PCA top-1,-0.05811067003002912,Financials,,
2023-01-01,Google/PCA top-1,0.07570911924573709,Financials,,
2023-02-01,Google/PCA top-1,0.0041190337598855375,Technology,,
2023-03-01,Google/PCA top-1,0.10613796102867012,Technology,,
2023-04-01,Google/PCA top-1,0.0010130974822268879,Technology,,
2023-05-01,Google/PCA top-1,0.08917306919272616,Technology,,
2023-06-01,Google/PCA top-1,0.058315205537907255,Technology,,
2023-07-01,Google/PCA top-1,0.027974108242641904,Technology,,
2023-08-01,Google/PCA top-1,-0.015082717906830245,Technology,,
2023-09-01,Google/PCA top-1,-0.052358554258064904,Materials,,
2023-10-01,Google/PCA top-1,0.0026249218118485906,Technology,,
2023-11-01,Google/PCA top-1,0.12895568572659766,Technology,,
2023-12-01,Google/PCA top-1,0.039533274190982404,Technology,,
2024-01-01,Google/PCA top-1,0.029281718665037593,Technology,,
2024-02-01,Google/PCA top-1,0.047045745572638964,Technology,,
2024-03-01,Google/PCA top-1,0.006232399608830708,Technology,,
2024-04-01,Google/PCA top-1,-0.056061220203576845,Technology,,
2024-05-01,Google/PCA top-1,0.07076972036472395,Technology,,
2024-06-01,Google/PCA top-1,0.02882524807692355,Communication Services,,
2024-07-01,Google/PCA top-1,-0.031145923141372323,Technology,,
2024-08-01,Google/PCA top-1,0.0069927866134096295,Technology,,
2024-09-01,Google/PCA top-1,-0.009182227094204798,Financials,,
2024-10-01,Google/PCA top-1,0.029315292036276697,Financials,,
2024-11-01,Google/PCA top-1,0.10456097862346025,Financials,,
2024-12-01,Google/PCA top-1,-0.005176913053540733,Technology,,
2025-01-01,Google/PCA top-1,-0.005727873873666245,Technology,,
2025-02-01,Google/PCA top-1,-0.022875909281760642,Technology,,
2025-03-01,Google/PCA top-1,-0.08446764369635351,Technology,,
2025-04-01,Google/PCA top-1,0.018687853639658414,Technology,,
2025-05-01,Google/PCA top-1,0.09972846872939423,Technology,,
2025-06-01,Google/PCA top-1,0.02766867220915259,Financials,,
2025-07-01,Google/PCA top-1,0.0034271445171532022,Financials,,
2025-08-01,Google/PCA top-1,0.030933778483985375,Financials,,
2025-09-01,Google/PCA top-1,-0.0022226285104356425,Financials,,
2025-10-01,Google/PCA top-1,0.06814171875540165,Technology,,
2025-11-01,Google/PCA top-1,-0.04809087904861853,Technology,,
2025-12-01,Google/PCA top-1,0.020192328295371542,Communication Services,,
2026-01-01,Google/PCA top-1,0.0008908275056329629,Technology,,
2026-02-01,Google/PCA top-1,-0.03558535174154043,Technology,,
2026-03-01,Google/PCA top-1,0.09549362861067423,Energy,,
2026-04-01,Google/PCA top-1,0.20164277902148298,Technology,,
2021-06-01,Google/PCA top-3,0.021908226503599543,"Technology, Consumer Discretionary, Financials",,
2021-07-01,Google/PCA top-3,0.03555479768704265,"Technology, Industrials, Health Care",,
2021-08-01,Google/PCA top-3,0.02234260151916508,"Financials, Technology, Energy",,
